DATE,DDDI02GBA156NWDB
1960-01-01,17.33894
1961-01-01,17.49325
1962-01-01,17.43805
1963-01-01,19.34336
1964-01-01,20.672060000000002
1965-01-01,20.62366
1966-01-01,19.4966
1967-01-01,19.82422
1968-01-01,19.71047
1969-01-01,19.35005
1970-01-01,19.81598
1971-01-01,20.75255
1972-01-01,28.550859999999997
1973-01-01,33.5649
1974-01-01,35.199529999999996
1975-01-01,28.31415
1976-01-01,27.36192
1977-01-01,26.08476
1978-01-01,25.59901
1979-01-01,25.86194
1980-01-01,26.215870000000002
1981-01-01,30.86014
1982-01-01,34.048590000000004
1983-01-01,37.07233
1984-01-01,42.23568
1985-01-01,43.90625
1986-01-01,77.61064
1987-01-01,82.77105
1988-01-01,91.57545
1989-01-01,102.93
1990-01-01,104.806
1991-01-01,102.3338
1992-01-01,101.678
1993-01-01,99.87621999999999
1994-01-01,100.0309
1995-01-01,97.52452
1996-01-01,100.5099
1997-01-01,102.2366
1998-01-01,101.9577
1999-01-01,105.2542
2000-01-01,114.4502
2001-01-01,120.1488
2002-01-01,124.5657
2003-01-01,129.3308
2004-01-01,137.2034
2005-01-01,143.2026
2006-01-01,153.4085
2007-01-01,169.84
2008-01-01,190.6736
2009-01-01,192.0059
2010-01-01,184.6566
2011-01-01,170.5374
2012-01-01,160.8148
2013-01-01,149.6237
2014-01-01,135.4716
2015-01-01,130.6057
2016-01-01,131.957
2017-01-01,133.8217
2018-01-01,134.3656
2019-01-01,133.2493
