DATE,GBRGFCEQDSMEI
1960-01-01,1045249999.99999998
1961-01-01,1129500000.00000000
1962-01-01,1208000000.00000000
1963-01-01,1215000000.00000000
1964-01-01,1299750000.00000000
1965-01-01,1469500000.00000000
1966-01-01,1613250000.00000000
1967-01-01,1775500000.00000000
1968-01-01,1902250000.00000000
1969-01-01,2020749999.99999995
1970-01-01,2281000000.00000000
1971-01-01,2603500000.00000000
1972-01-01,2971750000.00000000
1973-01-01,3405750000.00000000
1974-01-01,4247000000.00000000
1975-01-01,5875750000.00000000
1976-01-01,6874000000.00000000
1977-01-01,7490000000.00000000
1978-01-01,8472250000.00000050
1979-01-01,9827500000.00000000
1980-01-01,12342250000.00000000
1981-01-01,13931500000.00000000
1982-01-01,15175250000.00000000
1983-01-01,16432249999.99999850
1984-01-01,17435750000.00000000
1985-01-01,18230500000.00000000
1986-01-01,19728750000.00000000
1987-01-01,21340250000.00000000
1988-01-01,23042750000.00000000
1989-01-01,25135750000.00000000
1990-01-01,27888250000.00000000
1991-01-01,30751000000.00000000
1992-01-01,32961749999.99999800
1993-01-01,33684000000.00000100
1994-01-01,35032000000.00000000
1995-01-01,36360000000.00000000
1996-01-01,37832250000.00000000
1997-01-01,38391250000.00000000
1998-01-01,40228250000.00000000
1999-01-01,43119000000.00000000
2000-01-01,46003250000.00000000
2001-01-01,49677750000.00000000
2002-01-01,54229750000.00000000
2003-01-01,59506000000.00000000
2004-01-01,64446500000.00000000
2005-01-01,68911500000.00000000
2006-01-01,73243250000.00000000
2007-01-01,76324250000.00000000
2008-01-01,81473000000.00000000
2009-01-01,85463000000.00000000
2010-01-01,86944500000.00000000
2011-01-01,87312500000.00000000
2012-01-01,89234500000.00000000
2013-01-01,89914750000.00000000
2014-01-01,92708250000.00000000
2015-01-01,93839250000.00000000
2016-01-01,95659250000.00000000
2017-01-01,97148250000.00000000
2018-01-01,99761000000.00000000
2019-01-01,106001500000.00000000
